Entered At,Exited At,Symbol,Type,Expiration,DTE,Short Strike,Long Strike,Quantity,Entry Price,Bid at Entry,Ask at Entry,Exit Price,Bid at Exit,Ask at Exit,Profit,Broker Fee,Risk,ROC,Assigned,Starting Balance,Ending Balance,PM Settled,Delta,IV,SPX at Entry,SPX at Exit,VIX at Entry,VIX at Exit
3/4/2017 15:30,5/4/2017 16:00,SPXW,Put,5/4/2017 0:00,2,2315,2020,18,-0.23,0.2,0.35,0,,,378,36,531000,0.000711864,No,526949,527327,Yes,-0.032,0.1356,2359.1,2352.95,12.48,12.51
5/4/2017 15:30,7/4/2017 16:00,SPXW,Put,7/4/2017 0:00,2,2290,1990,18,-0.36,0.35,0.45,0,,,612,36,540000,0.001133333,No,527327,527939,Yes,-0.03,0.2063,2357.65,2355.54,12.15,12.88
7/4/2017 15:30,10/4/2017 16:00,SPXW,Put,10/4/2017 0:00,3,2305,2000,17,-0.28,0.25,0.4,0,,,442,34,518500,0.000852459,No,527939,528381,Yes,-0.0311,0.1337,2357.98,2357.16,12.9,13.93
10/4/2017 15:30,12/4/2017 16:00,SPXW,Put,12/4/2017 0:00,2,2305,2000,17,-0.28,0.25,0.4,0,,,442,34,518500,0.000852459,No,528381,528823,Yes,-0.0307,0.1657,2358.99,2344.93,13.73,15.72
12/4/2017 15:30,13/4/2017 16:00,SPXW,Put,13/4/2017 0:00,1,2305,2005,18,-0.21,0.2,0.3,0,,,342,36,540000,0.000633333,No,528823,529165,Yes,-0.0319,0.1759,2344.85,2328.95,15.75,15.96
13/4/2017 15:30,17/4/2017 16:00,SPXW,Put,17/4/2017 0:00,4,2265,1975,18,-0.34,0.3,0.45,0,,,576,36,522000,0.001103448,No,529165,529741,Yes,-0.0292,0.1525,2334.47,2349.01,15.88,14.63
17/4/2017 15:30,19/4/2017 16:00,SPXW,Put,19/4/2017 0:00,2,2295,2000,18,-0.23,0.2,0.35,0,,,378,36,531000,0.000711864,No,529741,530119,Yes,-0.028,0.1583,2347.32,2338.17,14.7,14.95
19/4/2017 15:30,21/4/2017 9:30,SPX,Put,21/4/2017 0:00,2,2280,1980,18,-0.26,0.15,0.45,0,,,432,36,540000,0.0008,No,530119,530551,No,-0.0295,0.1887,2336.95,2354.74,14.8,14.16
21/4/2017 9:31,24/4/2017 16:00,SPXW,Put,24/4/2017 0:00,3,2235,1925,17,-0.66,0.45,0.95,0,,,1088,34,527000,0.002064516,No,530551,531639,Yes,-0.0292,0.2946,2355.07,2374.15,14.16,10.89
24/4/2017 15:30,26/4/2017 16:00,SPXW,Put,26/4/2017 0:00,2,2315,2010,17,-0.33,0.3,0.45,0,,,527,34,518500,0.001016393,No,531639,532166,Yes,-0.0308,0.1871,2375.51,2387.45,11.07,10.73
26/4/2017 15:30,28/4/2017 16:00,SPXW,Put,28/4/2017 0:00,2,2335,2035,18,-0.29,0.2,0.45,0,,,486,36,540000,0.0009,No,532166,532652,Yes,-0.0303,0.1773,2393.71,2384.2,10.43,10.81
28/4/2017 15:30,1/5/2017 16:00,SPXW,Put,1/5/2017 0:00,3,2330,2030,18,-0.28,0.25,0.4,0,,,468,36,540000,0.000866667,No,532652,533120,Yes,-0.0306,0.135,2383.98,2388.33,11.02,10.12
1/5/2017 15:30,3/5/2017 16:00,SPXW,Put,3/5/2017 0:00,2,2345,2040,17,-0.23,0.2,0.35,0,,,357,34,518500,0.000688525,No,533120,533477,Yes,-0.0305,0.1414,2391.84,2388.13,10.24,10.66
3/5/2017 15:30,5/5/2017 16:00,SPXW,Put,5/5/2017 0:00,2,2340,2040,18,-0.23,0.2,0.35,0,,,378,36,540000,0.0007,No,533477,533855,Yes,-0.0306,0.1407,2386.57,2399.29,10.72,10.73
5/5/2017 15:30,8/5/2017 16:00,SPXW,Put,8/5/2017 0:00,3,2300,2000,18,-0.83,0.8,0.95,0,,,1458,36,540000,0.0027,No,533855,535313,Yes,-0.0397,0.2553,2395.6,2399.38,10.73,9.72
8/5/2017 15:30,10/5/2017 16:00,SPXW,Put,10/5/2017 0:00,2,2345,2040,18,-0.26,0.25,0.35,0,,,432,36,549000,0.000786885,No,535313,535745,Yes,-0.0299,0.1559,2397.88,2399.63,9.71,9.99
10/5/2017 15:30,12/5/2017 16:00,SPXW,Put,12/5/2017 0:00,2,2325,2025,18,-0.38,0.35,0.5,0,,,648,36,540000,0.0012,No,535745,536393,Yes,-0.0296,0.2179,2398.04,2390.9,10,10.37
12/5/2017 15:30,15/5/2017 16:00,SPXW,Put,15/5/2017 0:00,3,2315,2010,18,-0.38,0.35,0.5,0,,,648,36,549000,0.001180328,No,536393,537041,Yes,-0.0293,0.1813,2388.58,2402.32,10.49,10.28
15/5/2017 15:30,17/5/2017 16:00,SPXW,Put,17/5/2017 0:00,2,2340,2040,18,-0.33,0.3,0.45,0,,,558,36,540000,0.001033333,No,537041,537599,Yes,-0.0313,0.1816,2400.62,2357.03,10.4,15.43
17/5/2017 15:30,19/5/2017 16:00,SPXW,Put,19/5/2017 0:00,2,2240,1940,18,-0.69,0.6,0.85,0,,,1206,36,540000,0.002233333,No,537599,538805,Yes,-0.0293,0.3837,2364.1,2381.73,14.26,12.32
19/5/2017 15:30,22/5/2017 16:00,SPXW,Put,22/5/2017 0:00,3,2325,2025,18,-0.31,0.25,0.45,0,,,522,36,540000,0.000966667,No,538805,539327,Yes,-0.0314,0.1406,2380.84,2394.02,12.6,11.04
