,Unnamed: 0,Delta,Width,Timing,Alloc.,PT / Ladder,CAGR,Drawdown,Score,Updated
0,,3,50,S 1-4 DTE,10%,-,5.6%,-4.9%,0.88,May 16 2021
1,,3,50,S 1-4 DTE,20%,-,11.2%,-10.0%,0.89,May 16 2021
2,,3,50,S 1-4 DTE,30%,-,17.2%,-14.8%,0.86,May 16 2021
3,,3,50,S 1-4 DTE,50%,-,29.2%,-24.7%,0.85,May 16 2021
4,,3,50,S 1-4 DTE,10%,70%,1.0%,-13.4%,13.40,May 16 2021
5,,3,50,S 1-4 DTE,20%,70%,1.5%,-26.4%,17.60,May 16 2021
6,,3,50,S 1-4 DTE,30%,70%,1.4%,-39.1%,27.93,May 16 2021
7,,3,50,S 1-4 DTE,50%,70%,-0.5%,-60.8%,-,May 16 2021
8,,3,50,S 1-4 DTE,10%,80%,5.9%,-7.2%,1.22,May 16 2021
9,,3,50,S 1-4 DTE,20%,80%,11.9%,-14.5%,1.22,May 16 2021
10,,3,50,S 1-4 DTE,30%,80%,18.0%,-21.7%,1.21,May 16 2021
11,,3,50,S 1-4 DTE,50%,80%,30.3%,-36.4%,1.20,May 16 2021
12,,3,100,S 1-4 DTE,10%,-,4.6%,-2.4%,0.52,May 16 2021
13,,3,100,S 1-4 DTE,20%,-,9.4%,-5.0%,0.53,May 16 2021
14,,3,100,S 1-4 DTE,30%,-,14.5%,-7.4%,0.51,May 16 2021
15,,3,100,S 1-4 DTE,50%,-,25.1%,-12.2%,0.49,May 16 2021
16,,3,100,S 1-4 DTE,10%,70%,1.1%,-11.2%,10.18,May 16 2021
17,,3,100,S 1-4 DTE,20%,70%,1.7%,-22.8%,13.41,May 16 2021
18,,3,100,S 1-4 DTE,30%,70%,2.5%,-32.3%,12.92,May 16 2021
19,,3,100,S 1-4 DTE,50%,70%,1.7%,-52.6%,30.94,May 16 2021
20,,3,100,S 1-4 DTE,10%,80%,3.2%,-5.3%,1.66,May 16 2021
21,,3,100,S 1-4 DTE,20%,80%,6.5%,-11.4%,1.75,May 16 2021
22,,3,100,S 1-4 DTE,30%,80%,9.7%,-17.1%,1.76,May 16 2021
23,,3,100,S 1-4 DTE,50%,80%,16.3%,-27.5%,1.69,May 16 2021
24,,3,150,S 1-4 DTE,10%,-,3.7%,-1.9%,0.51,May 16 2021
25,,3,150,S 1-4 DTE,20%,-,7.5%,-3.5%,0.47,May 16 2021
26,,3,150,S 1-4 DTE,30%,-,11.6%,-4.9%,0.42,May 16 2021
27,,3,150,S 1-4 DTE,50%,-,19.9%,-8.3%,0.42,May 16 2021
28,,3,150,S 1-4 DTE,10%,70%,1.6%,-6.2%,3.88,May 16 2021
29,,3,150,S 1-4 DTE,20%,70%,3.1%,-14.2%,4.58,May 16 2021
30,,3,150,S 1-4 DTE,30%,70%,4.4%,-21.3%,4.84,May 16 2021
31,,3,150,S 1-4 DTE,50%,70%,7.0%,-34.5%,4.93,May 16 2021
32,,3,150,S 1-4 DTE,10%,80%,2.6%,-3.7%,1.42,May 16 2021
33,,3,150,S 1-4 DTE,20%,80%,5.5%,-7.4%,1.35,May 16 2021
34,,3,150,S 1-4 DTE,30%,80%,8.4%,-11.1%,1.32,May 16 2021
35,,3,150,S 1-4 DTE,50%,80%,14.1%,-18.0%,1.28,May 16 2021
36,,3,200,S 1-4 DTE,10%,-,3.4%,-1.4%,0.41,May 16 2021
37,,3,200,S 1-4 DTE,20%,-,6.1%,-2.7%,0.44,May 16 2021
38,,3,200,S 1-4 DTE,30%,-,9.5%,-3.8%,0.40,May 16 2021
39,,3,200,S 1-4 DTE,50%,-,16.4%,-6.1%,0.37,May 16 2021
40,,3,200,S 1-4 DTE,10%,70%,1.7%,-5.5%,3.24,May 16 2021
41,,3,200,S 1-4 DTE,20%,70%,3.4%,-9.4%,2.76,May 16 2021
42,,3,200,S 1-4 DTE,30%,70%,4.7%,-15.2%,3.23,May 16 2021
43,,3,200,S 1-4 DTE,50%,70%,7.8%,-24.9%,3.19,May 16 2021
44,,3,200,S 1-4 DTE,10%,80%,3.3%,-2.0%,0.61,May 16 2021
45,,3,200,S 1-4 DTE,20%,80%,5.8%,-3.9%,0.67,May 16 2021
46,,3,200,S 1-4 DTE,30%,80%,9.1%,-5.5%,0.60,May 16 2021
47,,3,200,S 1-4 DTE,50%,80%,15.4%,-9.3%,0.60,May 16 2021
48,,3,250,S 1-4 DTE,10%,-,2.5%,-0.9%,0.36,May 16 2021
49,,3,250,S 1-4 DTE,20%,-,5.3%,-1.9%,0.36,May 16 2021
50,,3,250,S 1-4 DTE,30%,-,8.0%,-3.0%,0.38,May 16 2021
51,,3,250,S 1-4 DTE,50%,-,13.7%,-4.8%,0.35,May 16 2021
52,,3,250,S 1-4 DTE,75%,-,21.2%,-7.5%,0.35,May 16 2021
53,,3,250,S 1-4 DTE,100%,-,29.1%,-9.9%,0.34,May 16 2021
54,,3,250,S 1-4 DTE,10%,70%,1.6%,-3.5%,2.19,May 16 2021
55,,3,250,S 1-4 DTE,20%,70%,3.2%,-6.9%,2.16,May 16 2021
56,,3,250,S 1-4 DTE,30%,70%,4.9%,-10.2%,2.08,May 16 2021
57,,3,250,S 1-4 DTE,50%,70%,7.6%,-18.7%,2.46,May 16 2021
58,,3,250,S 1-4 DTE,75%,70%,11.5%,-27.4%,2.38,May 16 2021
59,,3,250,S 1-4 DTE,100%,70%,14.8%,-35.9%,2.43,May 16 2021
60,,3,250,S 1-4 DTE,10%,80%,2.4%,-1.4%,0.58,May 16 2021
61,,3,250,S 1-4 DTE,20%,80%,5.0%,-2.7%,0.54,May 16 2021
62,,3,250,S 1-4 DTE,30%,80%,7.6%,-4.4%,0.58,May 16 2021
63,,3,250,S 1-4 DTE,50%,80%,12.9%,-7.5%,0.58,May 16 2021
64,,3,250,S 1-4 DTE,75%,80%,19.9%,-10.7%,0.54,May 16 2021
65,,3,250,S 1-4 DTE,100%,80%,27.2%,-14.5%,0.53,May 16 2021
66,,3,300,S 1-4 DTE,10%,-,2.5%,-0.9%,0.36,May 16 2021
67,,3,300,S 1-4 DTE,20%,-,4.5%,-1.8%,0.40,May 16 2021
68,,3,300,S 1-4 DTE,30%,-,6.7%,-2.7%,0.40,May 16 2021
69,,3,300,S 1-4 DTE,50%,-,11.7%,-4.1%,0.35,May 16 2021
70,,3,300,S 1-4 DTE,75%,-,17.9%,-6.0%,0.34,May 16 2021
71,,3,300,S 1-4 DTE,100%,-,24.5%,-8.2%,0.33,May 16 2021
72,,3,300,S 1-4 DTE,10%,70%,1.6%,-3.4%,2.13,May 16 2021
73,,3,300,S 1-4 DTE,20%,70%,2.8%,-5.1%,1.82,May 16 2021
74,,3,300,S 1-4 DTE,30%,70%,4.1%,-8.3%,2.02,May 16 2021
75,,3,300,S 1-4 DTE,50%,70%,6.6%,-14.5%,2.20,May 16 2021
76,,3,300,S 1-4 DTE,75%,70%,9.6%,-22.8%,2.38,May 16 2021
77,,3,300,S 1-4 DTE,100%,70%,12.8%,-29.6%,2.31,May 16 2021
78,,3,300,S 1-4 DTE,10%,80%,1.7%,-3.4%,2.00,May 16 2021
79,,3,300,S 1-4 DTE,20%,80%,3.1%,-5.0%,1.61,May 16 2021
80,,3,300,S 1-4 DTE,30%,80%,4.5%,-8.1%,1.80,May 16 2021
81,,3,300,S 1-4 DTE,50%,80%,7.3%,-14.1%,1.93,May 16 2021
82,,3,300,S 1-4 DTE,75%,80%,11.1%,-21.1%,1.90,May 16 2021
83,,3,300,S 1-4 DTE,100%,80%,14.6%,-27.4%,1.88,May 16 2021
84,,4,50,S 1-4 DTE,10%,-,5.2%,-8.0%,1.54,May 16 2021
85,,4,50,S 1-4 DTE,20%,-,10.4%,-15.4%,1.48,May 16 2021
86,,4,50,S 1-4 DTE,30%,-,15.2%,-23.2%,1.53,May 16 2021
87,,4,50,S 1-4 DTE,50%,-,23.6%,-37.9%,1.61,May 16 2021
88,,4,50,S 1-4 DTE,10%,70%,-0.9%,-18.9%,-,May 16 2021
89,,4,50,S 1-4 DTE,20%,70%,-2.4%,-36.0%,-,May 16 2021
90,,4,50,S 1-4 DTE,30%,70%,-5.7%,-52.4%,-,May 16 2021
91,,4,50,S 1-4 DTE,50%,70%,-16.3%,-78.2%,-,May 16 2021
92,,4,50,S 1-4 DTE,10%,80%,1.7%,-17.0%,10.00,May 16 2021
93,,4,50,S 1-4 DTE,20%,80%,2.5%,-33.6%,13.44,May 16 2021
94,,4,50,S 1-4 DTE,30%,80%,2.1%,-48.9%,23.29,May 16 2021
95,,4,50,S 1-4 DTE,50%,80%,-3.6%,-75.3%,-,May 16 2021
96,,4,100,S 1-4 DTE,10%,-,5.0%,-3.8%,0.76,May 16 2021
97,,4,100,S 1-4 DTE,20%,-,10.0%,-7.5%,0.75,May 16 2021
98,,4,100,S 1-4 DTE,30%,-,15.3%,-11.3%,0.74,May 16 2021
99,,4,100,S 1-4 DTE,50%,-,26.2%,-18.7%,0.71,May 16 2021
100,,4,100,S 1-4 DTE,10%,70%,4.3%,-8.8%,2.05,May 16 2021
101,,4,100,S 1-4 DTE,20%,70%,8.6%,-17.6%,2.05,May 16 2021
102,,4,100,S 1-4 DTE,30%,70%,13.2%,-24.9%,1.89,May 16 2021
103,,4,100,S 1-4 DTE,50%,70%,21.1%,-40.3%,1.91,May 16 2021
104,,4,100,S 1-4 DTE,10%,80%,2.4%,-9.0%,3.75,May 16 2021
105,,4,100,S 1-4 DTE,20%,80%,4.6%,-18.8%,4.09,May 16 2021
106,,4,100,S 1-4 DTE,30%,80%,5.8%,-29.5%,5.09,May 16 2021
107,,4,100,S 1-4 DTE,50%,80%,6.9%,-49.4%,7.16,May 16 2021
108,,4,150,S 1-4 DTE,10%,-,4.0%,-2.7%,0.68,May 16 2021
109,,4,150,S 1-4 DTE,20%,-,8.3%,-5.1%,0.61,May 16 2021
110,,4,150,S 1-4 DTE,30%,-,12.7%,-7.4%,0.58,May 16 2021
111,,4,150,S 1-4 DTE,50%,-,21.8%,-12.5%,0.57,May 16 2021
112,,4,150,S 1-4 DTE,10%,70%,4.5%,-5.6%,1.24,May 16 2021
113,,4,150,S 1-4 DTE,20%,70%,9.2%,-10.2%,1.11,May 16 2021
114,,4,150,S 1-4 DTE,30%,70%,14.1%,-14.5%,1.03,May 16 2021
115,,4,150,S 1-4 DTE,50%,70%,24.1%,-24.0%,1.00,May 16 2021
116,,4,150,S 1-4 DTE,10%,80%,2.7%,-5.2%,1.93,May 16 2021
117,,4,150,S 1-4 DTE,20%,80%,5.4%,-11.8%,2.19,May 16 2021
118,,4,150,S 1-4 DTE,30%,80%,7.9%,-18.0%,2.28,May 16 2021
119,,4,150,S 1-4 DTE,50%,80%,11.8%,-31.8%,2.69,May 16 2021
120,,4,200,S 1-4 DTE,10%,-,3.7%,-2.0%,0.54,May 16 2021
121,,4,200,S 1-4 DTE,20%,-,6.8%,-3.6%,0.53,May 16 2021
122,,4,200,S 1-4 DTE,30%,-,10.5%,-5.9%,0.56,May 16 2021
123,,4,200,S 1-4 DTE,50%,-,18.2%,-9.3%,0.51,May 16 2021
124,,4,200,S 1-4 DTE,10%,70%,2.7%,-5.5%,2.04,May 16 2021
125,,4,200,S 1-4 DTE,20%,70%,5.4%,-8.5%,1.57,May 16 2021
126,,4,200,S 1-4 DTE,30%,70%,8.1%,-13.7%,1.69,May 16 2021
127,,4,200,S 1-4 DTE,50%,70%,12.5%,-24.2%,1.94,May 16 2021
128,,4,200,S 1-4 DTE,10%,80%,3.6%,-3.1%,0.86,May 16 2021
129,,4,200,S 1-4 DTE,20%,80%,6.5%,-6.0%,0.92,May 16 2021
130,,4,200,S 1-4 DTE,30%,80%,9.8%,-8.3%,0.85,May 16 2021
131,,4,200,S 1-4 DTE,50%,80%,16.6%,-14.3%,0.86,May 16 2021
132,,4,250,S 1-4 DTE,10%,-,2.7%,-1.4%,0.52,May 16 2021
133,,4,250,S 1-4 DTE,20%,-,5.9%,-3.1%,0.53,May 16 2021
134,,4,250,S 1-4 DTE,30%,-,9.0%,-4.5%,0.50,May 16 2021
135,,4,250,S 1-4 DTE,50%,-,15.3%,-7.4%,0.48,May 16 2021
136,,4,250,S 1-4 DTE,75%,-,23.6%,-11.2%,0.47,May 16 2021
137,,4,250,S 1-4 DTE,100%,-,32.4%,-15.1%,0.47,May 16 2021
138,,4,250,S 1-4 DTE,10%,70%,2.1%,-3.8%,1.81,May 16 2021
139,,4,250,S 1-4 DTE,20%,70%,4.3%,-7.3%,1.70,May 16 2021
140,,4,250,S 1-4 DTE,30%,70%,6.6%,-10.8%,1.64,May 16 2021
141,,4,250,S 1-4 DTE,50%,70%,10.7%,-19.1%,1.79,May 16 2021
142,,4,250,S 1-4 DTE,75%,70%,15.0%,-30.1%,2.01,May 16 2021
143,,4,250,S 1-4 DTE,100%,70%,19.3%,-40.9%,2.12,May 16 2021
144,,4,250,S 1-4 DTE,10%,80%,2.9%,-2.1%,0.72,May 16 2021
145,,4,250,S 1-4 DTE,20%,80%,6.2%,-4.0%,0.65,May 16 2021
146,,4,250,S 1-4 DTE,30%,80%,9.7%,-6.6%,0.68,May 16 2021
147,,4,250,S 1-4 DTE,50%,80%,16.5%,-11.0%,0.67,May 16 2021
148,,4,250,S 1-4 DTE,75%,80%,25.0%,-16.7%,0.67,May 16 2021
149,,4,250,S 1-4 DTE,100%,80%,34.1%,-22.5%,0.66,May 16 2021
150,,4,300,S 1-4 DTE,10%,-,2.8%,-1.4%,0.50,May 16 2021
151,,4,300,S 1-4 DTE,20%,-,5.0%,-2.5%,0.50,May 16 2021
152,,4,300,S 1-4 DTE,30%,-,7.6%,-3.5%,0.46,May 16 2021
153,,4,300,S 1-4 DTE,50%,-,12.9%,-6.5%,0.50,May 16 2021
154,,4,300,S 1-4 DTE,75%,-,20.1%,-9.3%,0.46,May 16 2021
155,,4,300,S 1-4 DTE,100%,-,27.4%,-12.6%,0.46,May 16 2021
156,,4,300,S 1-4 DTE,10%,70%,2.7%,-3.1%,1.15,May 16 2021
157,,4,300,S 1-4 DTE,20%,70%,4.5%,-6.1%,1.36,May 16 2021
158,,4,300,S 1-4 DTE,30%,70%,7.1%,-8.1%,1.14,May 16 2021
159,,4,300,S 1-4 DTE,50%,70%,12.2%,-13.3%,1.09,May 16 2021
160,,4,300,S 1-4 DTE,75%,70%,18.6%,-19.4%,1.04,May 16 2021
161,,4,300,S 1-4 DTE,100%,70%,25.1%,-25.5%,1.02,May 16 2021
162,,4,300,S 1-4 DTE,10%,80%,3.0%,-2.1%,0.70,May 16 2021
163,,4,300,S 1-4 DTE,20%,80%,5.5%,-4.0%,0.73,May 16 2021
164,,4,300,S 1-4 DTE,30%,80%,8.2%,-5.8%,0.71,May 16 2021
165,,4,300,S 1-4 DTE,50%,80%,14.1%,-9.2%,0.65,May 16 2021
166,,4,300,S 1-4 DTE,75%,80%,21.6%,-13.6%,0.63,May 16 2021
167,,4,300,S 1-4 DTE,100%,80%,29.2%,-18.6%,0.64,May 16 2021
168,,5,50,S 1-4 DTE,10%,-,4.3%,-11.1%,2.58,May 16 2021
169,,5,50,S 1-4 DTE,20%,-,8.3%,-21.1%,2.54,May 16 2021
170,,5,50,S 1-4 DTE,30%,-,11.1%,-30.8%,2.77,May 16 2021
171,,5,50,S 1-4 DTE,50%,-,12.9%,-49.5%,3.84,May 16 2021
172,,5,50,S 1-4 DTE,10%,70%,0.4%,-16.0%,40.00,May 16 2021
173,,5,50,S 1-4 DTE,20%,70%,-1.2%,-32.6%,-,May 16 2021
174,,5,50,S 1-4 DTE,30%,70%,-4.6%,-48.4%,-,May 16 2021
175,,5,50,S 1-4 DTE,50%,70%,-18.4%,-78.2%,-,May 16 2021
176,,5,50,S 1-4 DTE,10%,80%,3.9%,-18.2%,4.67,May 16 2021
177,,5,50,S 1-4 DTE,20%,80%,6.8%,-34.4%,5.06,May 16 2021
178,,5,50,S 1-4 DTE,30%,80%,8.0%,-49.0%,6.13,May 16 2021
