date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2007-05-10,60.92,62.65,60.85,62.44,10052000,60.92,62.65,60.85,62.44,10052000,0.0,1.0,1
2007-05-11,61.56,61.6,60.56,60.96,7919100,61.56,61.6,60.56,60.96,7919100,0.0,1.0,1
2007-05-14,61.7,61.74,60.6,61.68,7760400,61.7,61.74,60.6,61.68,7760400,0.0,1.0,1
2007-05-15,60.58,61.97,60.52,61.4,8702100,60.58,61.97,60.52,61.4,8702100,0.0,1.0,1
2007-05-16,63.22,63.34,60.1,61.02,14485400,63.22,63.34,60.1,61.02,14485400,0.0,1.0,1
2007-05-17,62.17,63.52,62.02,62.88,11870900,62.17,63.52,62.02,62.88,11870900,0.0,1.0,1
2007-05-18,63.3,63.3,62.28,62.48,9799200,63.3,63.3,62.28,62.48,9799200,0.0,1.0,1
2007-05-21,68.3,68.68,63.3,63.58,36468800,68.3,68.68,63.3,63.58,36468800,0.0,1.0,1
2007-05-22,68.88,69.07,67.21,68.48,17211300,68.88,69.07,67.21,68.48,17211300,0.0,1.0,1
2007-05-23,69.0,73.31,68.79,69.21,42582500,69.0,73.31,68.79,69.21,42582500,0.0,1.0,1
2007-05-24,69.35,70.42,67.71,69.04,23824600,69.35,70.42,67.71,69.04,23824600,0.0,1.0,1
2007-05-25,68.55,69.7,68.25,69.69,9987200,68.55,69.7,68.25,69.69,9987200,0.0,1.0,1
2007-05-29,69.63,69.78,67.72,68.43,11730800,69.63,69.78,67.72,68.43,11730800,0.0,1.0,1
2007-05-30,69.86,70.08,68.861,69.06,10576100,69.86,70.08,68.861,69.06,10576100,0.0,1.0,1
2007-05-31,69.14,70.74,68.57,70.68,9310200,69.14,70.74,68.57,70.68,9310200,0.0,1.0,1
2007-06-01,68.58,69.3,68.35,68.9,7014500,68.58,69.3,68.35,68.9,7014500,0.0,1.0,1
2007-06-04,70.42,70.65,67.65,68.25,11380500,70.42,70.65,67.65,68.25,11380500,0.0,1.0,1
2007-06-05,73.65,74.24,70.86,71.1,30442500,73.65,74.24,70.86,71.1,30442500,0.0,1.0,1
2007-06-06,72.29,73.75,71.86,73.14,15591000,72.29,73.75,71.86,73.14,15591000,0.0,1.0,1
2007-06-07,72.0399,74.72,70.88,72.57,24138200,72.0399,74.72,70.88,72.57,24138200,0.0,1.0,1
2007-06-08,73.24,73.24,71.05,72.47,10204500,73.24,73.24,71.05,72.47,10204500,0.0,1.0,1
2007-06-11,71.17,73.05,71.0,73.0,11159100,71.17,73.05,71.0,73.0,11159100,0.0,1.0,1
2007-06-12,70.07,70.76,69.42,70.44,11829500,70.07,70.76,69.42,70.44,11829500,0.0,1.0,1
