date,amount,price,sid,symbol,value
2010-04-20 23:59:59.999989+00:00,15,11.1786042835,8,XLF,-167.6790642525
2010-04-20 23:59:59.999989+00:00,15,43.3593750085,9,XLE,-650.3906251275
2010-04-21 23:59:59.999989+00:00,377,29.9376901418,1,XLY,-11286.5091834586
2010-04-21 23:59:59.999989+00:00,-749,26.853922545552418,3,XLB,20113.58798661876
2010-04-21 23:59:59.999989+00:00,377,26.5787177149,4,XLV,-10020.176578517301
2010-04-21 23:59:59.999989+00:00,-749,26.18979843872138,5,XLI,19616.159030602314
2010-04-21 23:59:59.999989+00:00,-15,43.8884130121,9,XLE,658.3261951815
2010-04-22 23:59:59.999989+00:00,-377,30.27968956893203,1,XLY,11415.442967487375
2010-04-22 23:59:59.999989+00:00,553,26.9091563698,3,XLB,-14880.7634724994
2010-04-22 23:59:59.999989+00:00,-377,25.963700482,4,XLV,9788.315081714
2010-04-22 23:59:59.999989+00:00,553,26.1446261549,5,XLI,-14457.9782636597
2010-04-22 23:59:59.999989+00:00,-15,20.727976645404038,7,XLU,310.91964968106055
2010-04-22 23:59:59.999989+00:00,553,43.4608343517,9,XLE,-24033.8413964901
2010-04-23 23:59:59.999989+00:00,241,30.6077446127,1,XLY,-7376.4664516607
2010-04-23 23:59:59.999989+00:00,-553,27.442777749798882,3,XLB,15175.856095638781
2010-04-23 23:59:59.999989+00:00,241,25.7974796082,4,XLV,-6217.1925855762
2010-04-23 23:59:59.999989+00:00,-553,26.609894782298884,5,XLI,14715.271814611282
2010-04-23 23:59:59.999989+00:00,241,20.7413173359,7,XLU,-4998.6574779519
2010-04-23 23:59:59.999989+00:00,-553,44.166834256298884,9,XLE,24424.259343733283
2010-04-26 23:59:59.999989+00:00,-749,20.36044505922138,0,XLK,15249.973349356813
2010-04-26 23:59:59.999989+00:00,-241,30.99144056136333,1,XLY,7468.937175288563
2010-04-26 23:59:59.999989+00:00,542,27.8006059945,3,XLB,-15067.928449019
2010-04-26 23:59:59.999989+00:00,542,26.8534145412,5,XLI,-14554.5506813304
2010-04-26 23:59:59.999989+00:00,542,45.0769367463,9,XLE,-24431.6997164946
2010-04-27 23:59:59.999989+00:00,307,20.2028387891,0,XLK,-6202.2715082537
2010-04-27 23:59:59.999989+00:00,307,30.8482769869,1,XLY,-9470.4210349783
2010-04-27 23:59:59.999989+00:00,-542,27.375893040549528,3,XLB,14837.734027977844
2010-04-27 23:59:59.999989+00:00,-241,25.547409270357782,4,XLV,6156.925634156226
2010-04-27 23:59:59.999989+00:00,-542,26.432949989449526,5,XLI,14326.658894281643
2010-04-27 23:59:59.999989+00:00,-139,20.743300361087446,6,XLP,2883.318750191155
2010-04-27 23:59:59.999989+00:00,-241,20.47759690435778,7,XLU,4935.100853950225
2010-04-27 23:59:59.999989+00:00,-15,10.859066028430641,8,XLF,162.8859904264596
2010-04-27 23:59:59.999989+00:00,-542,44.5334045508,9,XLE,24137.1052665336
2010-04-28 23:59:59.999989+00:00,-307,20.0172594767,0,XLK,6145.2986593469
2010-04-28 23:59:59.999989+00:00,-307,30.0837276547,1,XLY,9235.7043899929
2010-04-30 23:59:59.999989+00:00,807,20.1353554028,0,XLK,-16249.231810059599
2010-04-30 23:59:59.999989+00:00,807,30.5218401934,1,XLY,-24631.125036073798
2010-04-30 23:59:59.999989+00:00,807,27.374603519,3,XLB,-22091.305039833
2010-04-30 23:59:59.999989+00:00,807,26.0717440499,4,XLV,-21039.8974482693
2010-04-30 23:59:59.999989+00:00,807,20.8543094591,6,XLP,-16829.4277334937
2010-05-03 23:59:59.999989+00:00,-807,19.7895030477,0,XLK,15970.128959493899
2010-05-03 23:59:59.999989+00:00,-807,30.0579563289,1,XLY,24256.770757422302
2010-05-03 23:59:59.999989+00:00,-807,26.8854895656,3,XLB,21696.5900794392
2010-05-03 23:59:59.999989+00:00,-807,25.6645029092,4,XLV,20711.253847724398
2010-05-05 23:59:59.999989+00:00,-807,20.576452257,6,XLP,16605.196971399
2010-05-07 23:59:59.999989+00:00,-351,18.6760271729,0,XLK,6555.2855376879
2010-05-07 23:59:59.999989+00:00,-351,28.0392024743,1,XLY,9841.7600684793
2010-05-07 23:59:59.999989+00:00,-351,24.8659222743,3,XLB,8727.9387182793
2010-05-07 23:59:59.999989+00:00,-351,25.0494856763,4,XLV,8792.3694723813
2010-05-07 23:59:59.999989+00:00,-351,24.8237023443,5,XLI,8713.1195228493
2010-05-07 23:59:59.999989+00:00,-351,20.1258730105,6,XLP,7064.181426685501
2010-05-07 23:59:59.999989+00:00,-351,19.7994608724,7,XLU,6949.6107662124
2010-05-07 23:59:59.999989+00:00,-351,10.2520893338,8,XLF,3598.4833561638
2010-05-07 23:59:59.999989+00:00,-351,40.5112663041,9,XLE,14219.454472739098
2010-05-10 23:59:59.999989+00:00,351,29.0099224129,1,XLY,-10182.4827669279
2010-05-10 23:59:59.999989+00:00,351,25.5522595959,3,XLB,-8968.8431181609
2010-05-10 23:59:59.999989+00:00,351,25.602598685857014,4,XLV,-8986.512138735812
2010-05-10 23:59:59.999989+00:00,351,25.5808172114,5,XLI,-8978.8668412014
2010-05-10 23:59:59.999989+00:00,351,20.539822140257016,7,XLU,-7209.477571230213
2010-05-10 23:59:59.999989+00:00,351,41.4026591047,9,XLE,-14532.3333457497
2010-05-11 23:59:59.999989+00:00,351,19.330116502757015,0,XLK,-6784.870892467712
2010-05-11 23:59:59.999989+00:00,351,20.785723956757014,6,XLP,-7295.789108821712
2010-05-11 23:59:59.999989+00:00,351,10.815110554357014,8,XLF,-3796.103804579312
2010-05-19 23:59:59.999989+00:00,-357,18.6591563263,0,XLK,6661.3188084891
2010-05-19 23:59:59.999989+00:00,-357,27.8588031936,1,XLY,9945.5927401152
2010-05-19 23:59:59.999989+00:00,-357,24.3294747125,3,XLB,8685.6224723625
2010-05-19 23:59:59.999989+00:00,-357,24.550823055,4,XLV,8764.643830635
2010-05-19 23:59:59.999989+00:00,-357,24.4854169781,5,XLI,8741.2938611817
2010-05-19 23:59:59.999989+00:00,-357,20.4562977913,6,XLP,7302.898311494099
2010-05-19 23:59:59.999989+00:00,-357,20.1680134016,7,XLU,7199.9807843712
2010-05-19 23:59:59.999989+00:00,-357,9.9197524497,8,XLF,3541.3516245429
2010-05-19 23:59:59.999989+00:00,-357,39.7938038061,9,XLE,14206.387958777701
2010-05-20 23:59:59.999989+00:00,357,27.215879292997318,1,XLY,-9716.068907600042
2010-05-20 23:59:59.999989+00:00,357,23.671819160597316,3,XLB,-8450.839440333242
2010-05-20 23:59:59.999989+00:00,357,23.88540970379732,4,XLV,-8527.091264255643
2010-05-20 23:59:59.999989+00:00,357,23.919835028197316,5,XLI,-8539.38110506644
2010-05-20 23:59:59.999989+00:00,357,19.426590782297318,7,XLU,-6935.292909280142
2010-05-20 23:59:59.999989+00:00,357,38.5545504004,9,XLE,-13763.974492942798
2010-05-21 23:59:59.999989+00:00,357,17.6637763776,0,XLK,-6305.968166803201
2010-05-21 23:59:59.999989+00:00,-430,26.2867523196,1,XLY,11303.303497428
2010-05-21 23:59:59.999989+00:00,-430,22.9962447429,3,XLB,9888.385239447
2010-05-21 23:59:59.999989+00:00,-430,23.6199861619,4,XLV,10156.594049617
2010-05-21 23:59:59.999989+00:00,-430,22.955078417,5,XLI,9870.68371931
2010-05-21 23:59:59.999989+00:00,357,19.6152165312,6,XLP,-7002.6323016384
2010-05-21 23:59:59.999989+00:00,-430,19.1544939464,7,XLU,8236.432396952
2010-05-21 23:59:59.999989+00:00,-430,37.0544015408,9,XLE,15933.392662544
2010-05-24 23:59:59.999989+00:00,-608,18.1192892355,0,XLK,11016.527855183998
2010-05-24 23:59:59.999989+00:00,430,27.329594663554378,1,XLY,-11751.725705328383
2010-05-24 23:59:59.999989+00:00,430,23.927399256454375,3,XLB,-10288.781680275382
2010-05-24 23:59:59.999989+00:00,-608,19.9005833873,6,XLP,12099.5546994784
2010-05-24 23:59:59.999989+00:00,430,38.3806200978,9,XLE,-16503.666642054
2010-05-25 23:59:59.999989+00:00,-596,26.4327898325,1,XLY,15753.94274017
2010-05-25 23:59:59.999989+00:00,-596,22.9094664608,3,XLB,13654.0420106368
2010-05-25 23:59:59.999989+00:00,430,22.548958436868435,5,XLI,-9696.052127853427
2010-05-25 23:59:59.999989+00:00,-596,36.5760932088,9,XLE,21799.3515524448
2010-05-26 23:59:59.999989+00:00,596,27.58359160474403,1,XLY,-16439.820596427442
2010-05-26 23:59:59.999989+00:00,596,24.1795849526,3,XLB,-14411.0326317496
2010-05-26 23:59:59.999989+00:00,-742,23.6558123897,5,XLI,17552.6127931574
2010-05-26 23:59:59.999989+00:00,596,38.112477548,9,XLE,-22715.036618608
2010-05-27 23:59:59.999989+00:00,-597,27.8759840775,1,XLY,16641.9624942675
2010-05-27 23:59:59.999989+00:00,-597,24.2584742999,3,XLB,14482.309157040301
2010-05-27 23:59:59.999989+00:00,742,23.961880102,5,XLI,-17779.715035684
2010-05-27 23:59:59.999989+00:00,-597,38.5400562085,9,XLE,23008.413556474497
2010-05-28 23:59:59.999989+00:00,597,28.1508782194,1,XLY,-16806.0742969818
2010-05-28 23:59:59.999989+00:00,597,24.6292542323,3,XLB,-14703.6647766831
2010-05-28 23:59:59.999989+00:00,-716,24.1632404389,5,XLI,17300.8801542524
2010-05-28 23:59:59.999989+00:00,597,39.0908354999,9,XLE,-23337.228793440303
2010-06-01 23:59:59.999989+00:00,-619,27.6182708195,1,XLY,17095.709637270502
2010-06-01 23:59:59.999989+00:00,-619,24.0139173233,3,XLB,14864.6148231227
2010-06-01 23:59:59.999989+00:00,716,23.34458487297007,5,XLI,-16714.72276904657
2010-06-01 23:59:59.999989+00:00,-619,37.8080995186,9,XLE,23403.213602013402
2010-06-02 23:59:59.999989+00:00,-794,23.3658535045,5,XLI,18552.487682573
2010-06-02 23:59:59.999989+00:00,619,36.8732241423,9,XLE,-22824.5257440837
2010-06-03 23:59:59.999989+00:00,608,18.666825468518034,0,XLK,-11349.429884858964
2010-06-03 23:59:59.999989+00:00,619,28.317240839002817,1,XLY,-17528.372079342746
2010-06-03 23:59:59.999989+00:00,430,24.422225227954378,4,XLV,-10501.556848020382
2010-06-03 23:59:59.999989+00:00,794,24.147131612,5,XLI,-19172.822499928
2010-06-03 23:59:59.999989+00:00,-792,38.6052800719,9,XLE,30575.3818169448
2010-06-04 23:59:59.999989+00:00,619,23.4538029573,3,XLB,-14517.9040305687
